Category,Product,Subject,Date,Class,Decision,Day,Month,Year,Subject_Translate,extracted_subject
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,2 JUN 2023,information notification for attention,potentially serious,2,JUN,2023,"Translated(src=en, dest=en, text=Norovirus genogroup I and II in japanese clam from Italy, pronunciation=Norovirus genogroup I and II in japanese clam from Italy, extra_data=""{'translat..."")",Norovirus genogroup I and II in japanese clam from Italy
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,2 JUN 2023,information notification for attention,serious,2,JUN,2023,"Translated(src=en, dest=en, text=Escherichia coli in clams (chamelea gallina) from Italy, pronunciation=Escherichia coli in clams (chamelea gallina) from Italy, extra_data=""{'translat..."")",Escherichia coli in clams (chamelea gallina) from Italy
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,1 JUN 2023,information notification for attention,potentially serious,1,JUN,2023,"Translated(src=en, dest=en, text=Norovirus types I and II in clams (Chamelea gallina) from Italy, pronunciation=Norovirus types I and II in clams (Chamelea gallina) from Italy, extra_data=""{'translat..."")",Norovirus types I and II in clams (Chamelea gallina) from Italy
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,2 JUN 2023,information notification for attention,potentially serious,2,JUN,2023,"Translated(src=en, dest=en, text=Norovirus genogroup I and II in japanese clam from Italy, pronunciation=Norovirus genogroup I and II in japanese clam from Italy, extra_data=""{'translat..."")",Norovirus genogroup I and II in japanese clam from Italy
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,2 JUN 2023,information notification for attention,serious,2,JUN,2023,"Translated(src=en, dest=en, text=Escherichia coli in clams (chamelea gallina) from Italy, pronunciation=Escherichia coli in clams (chamelea gallina) from Italy, extra_data=""{'translat..."")",Escherichia coli in clams (chamelea gallina) from Italy
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,1 JUN 2023,information notification for attention,potentially serious,1,JUN,2023,"Translated(src=en, dest=en, text=Norovirus types I and II in clams (Chamelea gallina) from Italy, pronunciation=Norovirus types I and II in clams (Chamelea gallina) from Italy, extra_data=""{'translat..."")",Norovirus types I and II in clams (Chamelea gallina) from Italy
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,2 JUN 2023,information notification for attention,potentially serious,2,JUN,2023,"Translated(src=en, dest=en, text=Norovirus genogroup I and II in japanese clam from Italy, pronunciation=Norovirus genogroup I and II in japanese clam from Italy, extra_data=""{'translat..."")",Norovirus genogroup I and II in japanese clam from Italy
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,2 JUN 2023,information notification for attention,serious,2,JUN,2023,"Translated(src=en, dest=en, text=Escherichia coli in clams (chamelea gallina) from Italy, pronunciation=Escherichia coli in clams (chamelea gallina) from Italy, extra_data=""{'translat..."")",Escherichia coli in clams (chamelea gallina) from Italy
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,1 JUN 2023,information notification for attention,potentially serious,1,JUN,2023,"Translated(src=en, dest=en, text=Norovirus types I and II in clams (Chamelea gallina) from Italy, pronunciation=Norovirus types I and II in clams (Chamelea gallina) from Italy, extra_data=""{'translat..."")",Norovirus types I and II in clams (Chamelea gallina) from Italy
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,2 JUN 2023,information notification for attention,potentially serious,2,JUN,2023,"Translated(src=en, dest=en, text=Norovirus genogroup I and II in japanese clam from Italy, pronunciation=Norovirus genogroup I and II in japanese clam from Italy, extra_data=""{'translat..."")",Norovirus genogroup I and II in japanese clam from Italy
