Category,Product,Subject,Notification Reason,Bivalve Specie,Date,Day,Month,Year,Class,Decision
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,Norovirus,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,E.coli,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,Norovirus,Clams,1 JUN 2023,1,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,Norovirus,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,E.coli,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,Norovirus,Clams,1 JUN 2023,1,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,Norovirus,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,E.coli,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,Norovirus,Clams,1 JUN 2023,1,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,Norovirus,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,E.coli,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,Norovirus,Clams,1 JUN 2023,1,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,Norovirus,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,E.coli,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,Norovirus,Clams,1 JUN 2023,1,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,Norovirus,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,E.coli,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,Norovirus,Clams,1 JUN 2023,1,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in japanese clam from Italy,Norovirus,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Escherichia coli in clams (chamelea gallina) from Italy,E.coli,Clams,2 JUN 2023,2,JUN,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Norovirus types I and II in clams (Chamelea gallina) from Italy,Norovirus,Clams,1 JUN 2023,1,JUN,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Salmonella spp. in frozen scallops from Canada,Salmonella,Scallops,26 MAY 2023,26,MAY,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp. in frozen scallops from Canada,Salmonella,Scallops,26 MAY 2023,26,MAY,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp. in frozen scallops from Canada,Salmonella,Scallops,26 MAY 2023,26,MAY,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp. in frozen scallops from Canada,Salmonella,Scallops,26 MAY 2023,26,MAY,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp. in frozen scallops from Canada,Salmonella,Scallops,26 MAY 2023,26,MAY,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp. in frozen scallops from Canada,Salmonella,Scallops,26 MAY 2023,26,MAY,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Salmonella spp. in frozen scallops from Canada,Salmonella,Scallops,26 MAY 2023,26,MAY,2023,information notification for attention,serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
Bivalve molluscs and products...,food,Norovirus genogroup I and II in live clams (Chamelea gallina) from Italy,Norovirus,Clams,25 MAY 2023,25,MAY,2023,information notification for attention,potentially serious
